Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Barbados,BRB,7727.8505928218,7733.3737038157,7464.2235986941,7842.6933183316,8148.5703777305,8537.8973884684,9069.2367215013,9549.1844294567,10726.8931934295,11200.2906803404,11568.0519422765,11513.3401801349,11674.9361829092,12028.8987405468,12869.3365947615,14223.7777039775,15646.815008726,16461.8292691759,16569.6049618665,16526.2545517227,15901.4329353355,15530.8942915589,15317.1390013495,15153.8213753482,15366.2926106288
Brunei Darussalam,BRN,13701.8970422471,14002.1071342971,15381.3139100223,14678.0715929009,14220.6363441058,16046.9815826138,16913.9353639107,16779.3384713214,12784.7662234822,14205.7737205539,18154.8349324604,16616.798045418,17016.9434933055,18758.9808946915,22131.9460641106,26337.9181126619,31157.6884478525,32707.7043073602,37798.3935034007,27726.481053695,31453.2243965354,41787.0214028978,41807.6533410575,39151.2342290391,40979.6419433378
Bhutan,BTN,559.8216185514,467.6568699846,474.9128635881,453.3890922583,529.5484885852,595.5104133902,617.5547709058,702.5389844019,706.5620391365,764.1242598694,778.3912660161,820.2028588625,897.445333164,1009.0062318469,1107.9205956407,1257.5486400866,1346.0857748005,1755.1617090429,1810.576177044,1786.8106720059,2201.2930777894,2485.7870521685,2452.1515879374,2383.0447299026,2560.5011541718
Botswana,BWA,2747.2084382572,2776.4230618989,2839.1969630862,2772.7327735196,2767.3537402707,3001.1026308103,3007.6136227953,3050.2335865279,2854.6734019208,3210.2318804722,3333.1795496534,3114.6165937873,3044.1273533896,4149.0413774883,4879.4594615473,5327.8535176786,5342.1403362253,5666.6378469257,5561.898239986,5115.119246672,6244.0025738727,7504.850907449,6935.5936526659,6882.2583727087,7123.3392413015
Central African Republic,CAF,490.3995393239,457.4552983375,457.0583079434,403.2931148771,261.6021372142,334.3654766989,294.9204314225,268.0862194938,270.4307454843,273.5813579156,245.4343849293,245.5632726456,256.850608771,290.5096582522,318.4837946257,332.9466400768,353.8944517064,404.1131818544,463.8276186307,454.3693169169,446.8002045528,484.583218122,469.6842870568,326.4371085133,358.5378358576
Canada,CAN,21302.396912001,21591.1391612209,20692.7220252261,19936.3770646304,19785.6790398347,20509.0030863168,21129.4354271046,21709.2963371821,20875.2483089147,22109.6039862186,24031.9512017887,23573.7500651106,23995.0163265338,28026.0060130447,31830.0118713303,36028.2324902754,40243.5522837141,44328.4753768925,46400.4418456756,40764.1413468899,47463.6311923649,52086.533524627,52737.7771646779,52309.4317452131,50230.8076901423
Central Europe and the Baltics,CEB,2297.2015421844,2186.9488849527,2347.3557962534,2473.6877954617,2807.1508334916,3467.428880116,3722.562723103,3715.7570792746,4087.1717824413,3963.3968726378,3943.5949232891,4342.0075368337,4920.1735792208,5937.8246126824,7141.7221403024,8317.1994563878,9434.6499679719,11943.2413328079,14449.8798266322,12161.4616645403,12546.047643268,13869.2476850388,12981.6470661056,13685.5934431853,14082.0106173863
Switzerland,CHE,38332.1517205633,38303.049889718,39435.5381338896,38005.3234464037,41738.9701947029,48540.5774945952,46610.0597512362,40429.9372576455,41487.6901931812,40577.3366287001,37813.234256795,38538.6444695451,41336.7219170303,47960.5649721577,53255.9763084633,54797.5466345741,57348.9278823975,63223.467775151,72119.5608730311,69672.0047147337,74277.1205125567,88002.6095703805,83208.68654235,84669.2929367996,85616.5611964835
Channel Islands,CHI,0,0,0,0,0,0,0,0,40538.064462257,42406.9328479547,43299.401141101,41609.0194762585,44158.0402554468,48227.6655087624,55844.1166944098,57209.2491624825,62260.2255450367,73568.2348279852,0,0,0,0,0,0,0
Chile,CHL,2401.525181427,2727.5738248591,3277.6690859478,3461.4350919395,3942.967593861,5026.7206342632,5263.1913663815,5674.1530081465,5367.2118236476,4872.6921482922,5229.177097708,4709.9233998205,4566.5233256998,4948.7481798181,6323.7576399565,7728.6118974176,9500.8351620276,10513.540709255,10791.0201852508,10217.3140258409,12785.0518749485,14582.1705192521,15253.330825962,15741.7116579533,14528.3258112673
China,CHN,316.2244304218,331.4749159985,364.7596641408,375.8142938012,471.7608812199,607.5685831223,707.0297713023,778.9439057255,825.5479570821,869.6548820827,954.5522917304,1047.4778628689,1141.7576443751,1280.602854808,1498.1737956253,1740.0967263801,2082.183362501,2673.2941909354,3441.2213545702,3800.4745416128,4514.9405201338,5574.187093369,6264.6438779399,6991.8538656445,7590.0164405436
